handle,office,gender,party,,,,,,
@CongressmanJVD,representative,M,R,,,,,,
@RepAndyKimNJ,representative,M,D,,,,,,
@RepMalinowski,representative,M,D,,,,,,
@RepSherrill,representative,F,D,,,,,,
@RepSusieLee,representative,F,D,,,,,,
@RepHorsford,representative,M,D,,,,,,
@AOC,representative,F,D,,,,,,
@repdelgado,representative,M,D,,,,,,
@RepAGonzalez,representative,M,R,,,,,,
@RepDean,representative,F,D,,,,,,
@RepHoulahan,representative,F,D,,,,,,
@RepMeuser,representative,M,R,,,,,,
@RepJohnJoyce,representative,M,R,,,,,,
@GReschenthaler,representative,M,R,,,,,,
@reptimmons,representative,M,R,,,,,,
@RepDustyJohnson,representative,M,R,,,,,,
@RepTimBurchett,representative,M,R,,,,,,
@RepJohnRose,representative,M,R,,,,,,
@RepMarkGreen,representative,M,R,,,,,,
@RepDanCrenshaw,representative,M,R,,,,,,
@RepVanTaylor,representative,M,R,,,,,,
@Lancegooden,representative,M,R,,,,,,
@RepFletcher,representative,F,D,,,,,,
@RepEscobar,representative,F,D,,,,,,
@RepChipRoy,representative,M,R,,,,,,
@RepSylviaGarcia,representative,F,D,,,,,,
@RepColinAllred,representative,M,D,,,,,,
@RepElaineLuria,representative,F,D,,,,,,
@RepBenCline,representative,M,R,,,,,,
@RepSpanberger,representative,F,D,,,,,,
@RepWexton,representative,F,D,,,,,,
@RepKimSchrier,representative,F,D,,,,,,
@RepBryanSteil,representative,M,R,,,,,,
@RepCarolMiller,representative,F,R,,,,,,
@collinpeterson,representative,M,D,,,,,,
@Rep_Watkins,representative,M,R,,,,,,
@RossSpano,representative,M,R,,,,,,
@RepTjCox,representative,M,D,,,,,,
@RepGilCisneros,representative,M,D,,,,,,
@RepHarley,representative,M,D,,,,,,
@RepDMP,representative,F,D,,,,,,
@RepShalala,representative,F,D,,,,,,
@RepFinkenauer,representative,F,D,,,,,,
@RepTorresSmall,representative,F,D,,,,,,
@MaxRose4NY,representative,M,D,,,,,,
@RepBrindisi,representative,M,D,,,,,,
@RepKendraHorn,representative,F,D,,,,,,
@RepCunningham,representative,M,D,,,,,,
@RepBenMcAdams,representative,M,D,,,,,,
@RepRiggleman,representative,M,R,,,,,,
@govkristinoem,governor,F,R,,,,,,
@GavinNewsom,governor,M,D,,,,,,
@GovernorLittle,governor,M,R,,,,,,
@GovTimWalz,governor,M,DFL,,,,,,
@GovSisolak,governor,M,D,,,,,,
@GovEvers,governor,M,D,,,,,,
@GovernorGordon,governor,M,R,,,,,,
@SenRickScott,senator,M,R,,,,,,
@GovofCO,governor,M,D,,,,,,
@GovRonDeSantis,governor,M,R,,,,,,
@GovNedLamont,governor,M,D,,,,,,
@GovKemp,governor,M,R,,,,,,
@JBPritzker,governor,M,D,,,,,,
@GovLauraKelly,governor,F,D,,,,,,
@GovMikeDeWine,governor,M,R,,,,,,
@GovStitt,governor,M,R,,,,,,
@GovBillLee,governor,M,R,,,,,,
@RepFredKeller,representative,M,R,,,,,,
@jdanbishop,representative,M,R,,,,,,
@RepGregMurphy,representative,M,R,,,,,,
@AndyBeshearKY,governor,M,D,,,,,,
@KLoeffler,senator,F,R,,,,,,
@tatereeves,governor,M,R,,,,,,
@RepMikeGarcia,representative,M,R,,,,,,
@RepTiffany,representative,M,R,,,,,,
@RepJacobs,representative,M,R,,,,,,
@realDonaldTrump,p,M,R,,,,,,
@Mike_Pence,vp,M,R,,,,,,
@JoeBiden,p_cand,M,D,,,,,,
@SenKamalaHarris,vp_cand,F,D,,,,,,
@CaptMarkKelly,senator,M,D,,,,,,
@RepPaulCook,representative,M,R,,,,,,
@SenMcSallyAZ,senator,F,R,,,,,,
@RepTomGraves,representative,M,R,,,,,,
@HouseGOP,collective,NA,R,,,,,,
@SenateGOP',collective,NA,R,,,,,,
@HouseDemocrats',collective,NA,D,,,,,,
@SenateDem,collective,NA,D,,,,,,
@TheDemocrats,collective,NA,D,,,,,,
@GOP,collective,NA,R,,,,,,
